book_id,author,year,title,description,image
1,"M. Scott Peck, M.D.",1978,The Road Less Traveled,"The book delves into self-discipline, love, and spiritual growth, offering psychological and philosophical insights into personal development and overcoming life's challenges.",1.jpg
2,Don Tapscott and Anthony D. Williams,2006,Wikinomics: How Mass Collaboration Changes Everything,"It examines how mass collaboration through the internet is reshaping business, society, and the economy, emphasizing the power of collective intelligence and digital technology.",2.jpg
3,Hemant Taneja with Kevin Maney,2021,Unscaled - How AI and a New Generation of Upstarts Are Creating the Economy of the Future,"The book discusses how AI-driven startups are revolutionizing industries by moving away from traditional large-scale models, fostering personalized and efficient solutions.",3.jpg
4,Petteri Kilpinen,2017,Inspiroitunut,"The book focuses on leadership, motivation, and personal growth in a rapidly changing work environment, offering strategies for navigating modern business challenges.",4.jpg
5,Richard Carlson,2001,Älä hikeenny raha-asioista,"The book provides practical advice on reducing financial stress and adopting a calm, mindful approach to money, prioritizing peace of mind over financial anxiety.",5.jpg
6,"Pekka A. Viljakainen, Mark Mueller-Eberstein",2011,No Fear,"The book explores leadership in the digital era, advocating for innovation, adaptability, and new leadership approaches to navigate technological disruptions.",6.jpg
8,William G. Dyer,1987,Team Building - Issues and Alternatives Second Edition,"The book examines team development strategies, addressing common challenges in teamwork. It provides practical approaches for improving collaboration, communication, and effectiveness within organizations.",8.jpg
9,Artiom Dashinsky,2018,Solving Product Design Exercises,"The book provides practical guidance for tackling product design challenges in job interviews. It offers frameworks, real-world examples, and step-by-step solutions to help designers think critically, communicate ideas effectively, and succeed in the hiring process.",9.jpg
10,"Sssi Kiviranta, Matias Maenpää, Petteri Poukka",2020,Exit vol 2,"This volume features 16 inspiring true stories of Finnish entrepreneurs, showcasing their journeys and experiences in the business world.",10.jpg
11,Unto Kupiainen,1955,​Toivo Pekkanen runoilijana,"This book explores the life and works of Toivo Pekkanen, a notable Finnish poet, highlighting his contributions to literature and the themes present in his poetry.",11.jpg
12,Timo Ahopelto,2013,Sand Hill Road,"This novel explores the venture capital landscape through the eyes of a Finnish entrepreneur navigating Silicon Valley. It offers insights into the dynamics of investment, innovation, and the personal and professional challenges faced by startup founders striving for global success.",12.jpg
13,"Sirkku Heinonen, Rea Klingberg, Päivi Pentti",2011,Kaikkien aivot käyttöön,"This book explores strategies for enhancing cognitive abilities and utilizing brain power effectively in various contexts, aiming to improve learning and productivity.",13.jpg
14,Erin Meyer,2014,The Culture Map,"This book explores how cultural differences impact global business interactions, providing insights on communication, leadership, and negotiation across various cultures.",14.jpg
15,Risto Havunen – Anna Lavikkala,2010,Ongelmia ratkaiseva esimies,"This book focuses on problem-solving strategies for leaders, offering practical insights and tools to tackle challenges effectively in various organizational contexts.",15.jpg
16,"Pekka A. Viljakainen, Mark Mueller-Eberstein",2011,No Fear,"This book explores business leadership in the digital age, emphasizing the importance of adaptability and innovative thinking. It features insights from various contributors questioning traditional leadership paradigms.",16.jpg
17,Terho Puustinen & Mika Mäkeläinen,2013,​Taivas+helvetti,This book explores the journeys of entrepreneurs who faced significant challenges and losses but ultimately found success. It offers insights into resilience and the entrepreneurial spirit.,17.jpg
18,"Dr. Cristian Grossmann and Martha Rogers, Ph.D.",1993,The One to One Manager,"This book offers insights into customer relationship management, emphasizing personalized service and strategies to enhance customer loyalty and satisfaction.",18.jpg
19,Dr. Cristian Grossmann,2021,The Rise of the Frontline Worker,"This book explores how organizations can leverage their frontline workforce to gain a competitive advantage, emphasizing the importance of empowering and engaging these essential workers.",19.jpg
20,Hemant Taneja & Stephen Klasko,2020,UnHealthcare: A Manifesto for Health Assurance,"This book advocates for a transformative approach to healthcare, emphasizing health assurance over traditional healthcare models, aiming to improve outcomes and reduce costs.",20.jpg
21,Patrick Lencioni,2002,Viisi toimintahäiriötä tiimissä,"This book explores five dysfunctions that hinder team performance, providing insights on how to overcome them to build a cohesive and effective team.",21.jpg
22,Paul Polman & Andrew Winston,2021,Net positive,"The book explores how businesses can drive profit while benefiting society and the environment, offering strategies for sustainable leadership and tackling global challenges like climate change and inequality.",22.jpg
23,Paul Polman & Andrew Winston,2021,Net positive,"The book explores how businesses can drive profit while benefiting society and the environment, offering strategies for sustainable leadership and tackling global challenges like climate change and inequality.",23.jpg
24,,,Notebook for great ideas or just random scribbles,"A versatile notebook designed for jotting down ideas, sketches, or random thoughts. Perfect for anyone looking to capture inspiration on the go.",24.jpg
25,Timo Ahopelto,2013,Sand Hill Road,"This novel explores the venture capital landscape through the eyes of a Finnish entrepreneur navigating Silicon Valley. It offers insights into the dynamics of investment, innovation, and the personal and professional challenges faced by startup founders striving for global success.",25.jpg
26,Anneli Valpola,2000,Kehityskeskustelun mahdollisuudet,"This book explores the possibilities of development discussions in various contexts, emphasizing the importance of effective communication and feedback in personal and professional growth.",26.jpg
27,Franklin Becker / Fritz Steele,1999,Workplace by Design,"This book explores the relationship between workplace design and organizational performance, offering insights on creating high-performance work environments that enhance productivity and collaboration.",27.jpg
28,Linda Liukas,2015,Hello Ruby: Adventures in Coding,"This whimsical book introduces children to the world of computers and programming through engaging stories and activities, making coding fun and accessible.",28.jpg
29,Linda Liukas,2015,Hello Ruby: Adventures in Coding,"This whimsical book introduces children to the world of computers and programming through engaging stories and activities, making coding fun and accessible.",29.jpg
30,Linda Liukas,2015,Hello Ruby: Adventures in Coding,"This whimsical book introduces children to the world of computers and programming through engaging stories and activities, making coding fun and accessible.",30.jpg
31,Henry Chesbrough,2003,Open Innovation - The New Imperative for Creating and Profiting from Technology,"This book introduces the concept of open innovation, emphasizing the importance of external ideas and collaboration in the innovation process to enhance technology development and profitability.",31.jpg
32,,,Start up guide berlin vol 2,"This guide provides insights into Berlin's vibrant startup ecosystem, featuring resources, interviews, and tips for entrepreneurs looking to navigate the city's unique business landscape.",32.jpg
33,Scott Berkun,2006,Projektinhallinnan taito,"This book offers practical insights into project management, emphasizing effective planning, execution, and leadership. It provides strategies for overcoming common challenges and improving team collaboration.",33.jpg
34,Alvy Ray Smith,2021,A Biography of the Pixel,"This book explores the history and evolution of the pixel, detailing its significance in digital art and technology, as well as the author's experiences as a co-founder of Pixar.",34.jpg
35,"Reid Hoffman, Chris Yeh",2018,Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,"This book explores the concept of blitzscaling, a strategy for rapidly growing a company to achieve market dominance, emphasizing speed over efficiency in uncertain environments.",35.jpg
36,Karl Wahlin,,Tillämpad statistik,"This book serves as an introductory course in applied statistics, covering fundamental concepts and methods used in statistical analysis.",36.jpg
37,Nils G Storhagen,2003,Logistik - grunder och möjligheter,"This book provides foundational knowledge and insights into logistics, exploring its principles and opportunities within the field. It serves as a guide for understanding logistics management and its significance in various industries.",37.jpg
38,"Alexander Osterwalder, Yves Pigneur",2010,Business Model Generation,"This book provides a comprehensive guide to creating innovative business models. It introduces the Business Model Canvas, a strategic tool for visualizing and designing business models.",38.jpg
39,"Jaakko Lindgren, Roope Mokka, Aleksi Neuvonen, Antti Toponen",2019,​Digitalisaatio: Murroksen koko kuva,"This book explores the impact of digitalization on society, examining its challenges and opportunities. It provides insights into how digital transformation shapes various sectors and everyday life.",39.jpg
40,Don Tapscott and Alex Tapscott,2016,Blockchain Revolution,"This book explores how blockchain technology is transforming money, business, and society, highlighting its potential to create a more secure and transparent world.",40.jpg
41,Walter Isaacson,2011,Steve Jobs,"This biography explores the life and career of Steve Jobs, co-founder of Apple Inc., detailing his innovations, leadership style, and the impact he had on technology and design.",41.jpg
42,Alvy Ray Smith,2021,A Biography of the Pixel,"This book explores the history and evolution of the pixel, detailing its significance in digital art and technology, as well as the author's experiences as a co-founder of Pixar.",42.jpg
43,Robert M. Grant,2010,Contemporary Strategy Analysis,"This book provides a comprehensive overview of strategic management, integrating theory and practice. It emphasizes analytical tools and frameworks to help managers make informed decisions in a competitive environment.",43.jpg
44,"General Stanley McChrystal, Jeff Eggers, Jason Mangone",2015,Leaders: Myth and Reality,"This book explores the true nature of leadership, debunking common myths and providing insights from military and civilian leaders to illustrate effective leadership principles.",44.jpg
45,Leif Rylander,2011,The Winners Take It All,"This book explores how technology-based startups can transform inventions into successful innovations, emphasizing the strategies and mindsets necessary for success in the competitive landscape of entrepreneurship.",45.jpg
46,"Pia Lappalainen, Markku Markkula, Hank Kune",2015,Orchestrating Regional Innovation Ecosystems,"This book explores the dynamics of regional innovation ecosystems, focusing on collaborative strategies and frameworks that foster innovation and economic growth, particularly in the context of the Espoo Innovation Garden.",46.jpg
47,Timothy Ferriss,2017,Tribe of Mentors,"A collection of life and business advice from successful individuals across various fields, offering insights and strategies to help readers navigate their own paths.",47.jpg
48,Greg Satell,2019,Cascades: How to Create a Movement That Drives Transformational Change,"This book explores how to initiate and sustain large-scale change by creating movements that resonate with people, emphasizing the importance of storytelling and community engagement.",48.jpg
49,Timo Ahopelto,2015,Sand Hill Road,"This novel explores the complexities of life and relationships against the backdrop of the Silicon Valley venture capital scene, blending personal struggles with the high-stakes world of startups.",49.jpg
52,Nick Bilton,2013,Hatching Twitter,"This book chronicles the tumultuous rise of Twitter, detailing the conflicts, friendships, and betrayals among its founders as they navigate the challenges of building a revolutionary social media platform.",52.jpg
53,"Dave Gray, Sunni Brown, James Macanufo",2010,"Game Storming - A Playbook for Innovators, Rulebreakers, and Changemakers","This book provides tools and techniques for creative collaboration, helping teams innovate and solve problems through engaging activities and visual thinking.",53.jpg
54,Timo Ahopelto,2023,Kasvu-yrittäjän runokirja 1,"A collection of poems aimed at entrepreneurs, blending inspiration and practical insights to foster growth and creativity in business.",54.jpg
56,"Alex Osterwalder, Yves Pigneur, Greg Bernarda, Alan Smith",2014,Value Proposition Design,"This book provides a framework for creating products and services that meet customer needs, helping businesses design compelling value propositions through practical tools and techniques.",56.jpg
57,Richard Branson,1998,"Losing My Virginity: How I've Survived, Had Fun, and Made a Fortune Doing Business My Way","This autobiography chronicles Richard Branson's adventurous life as an entrepreneur, detailing his journey in building the Virgin Group and his philosophy on business and life.",57.jpg
58,"Leonard Kim, Ryan Foland",2020,Ditch the Act - Reveal the Surprising Power of the Real You for Greater Success,"This book encourages readers to embrace authenticity and vulnerability, highlighting how being genuine can lead to greater personal and professional success.",58.jpg
59,Timo Ahopelto,2015,Sand Hill Road,"A gripping narrative that explores the intersection of ambition, risk, and the dark side of the startup culture, set against the backdrop of Silicon Valley's infamous Sand Hill Road.",59.jpg
60,Timo Ahopelto,2015,Sand Hill Road,"This book explores the venture capital landscape, focusing on the dynamics of funding startups and the challenges entrepreneurs face in Silicon Valley.",60.jpg
61,Eeva Eronen,2017,Jättiläisen askeleet matka kiinan talouteen,"This book explores the complexities of China's economy, detailing its rapid growth and the challenges it faces. Eronen provides insights into the cultural and political factors influencing economic development.",61.jpg
63,Margaret Heffernan,2021,Uncharted: How to Navigate the Future,"This book explores how to navigate uncertainty and complexity in the modern world, emphasizing the importance of collaboration, adaptability, and understanding the unpredictable nature of the future.",63.jpg
64,John Brooks,1969,Business Adventures - Twelve Classic Tales from the World of Wall Street,"This collection of twelve stories explores the ups and downs of the stock market, illustrating key events and personalities in Wall Street's history, making it a timeless read for business enthusiasts.",64.jpg
65,Timo Ahopelto,2015,Sand Hill Road,"This novel explores the high-stakes world of venture capital and the personal and professional challenges faced by those navigating it, blending elements of suspense and drama.",65.jpg
66,Timo Ahopelto,2015,Sand Hill Road,"This book explores the world of venture capital, detailing the challenges and strategies of startups seeking funding. It provides insights into the dynamics of Silicon Valley and the investment landscape.",66.jpg
67,Timo Ahopelto,2015,Sand Hill Road,"This book explores the dynamics of venture capital and entrepreneurship, focusing on the challenges and opportunities in the startup ecosystem, particularly in Silicon Valley.",67.jpg
68,Benjamin Graham,1949,The Intelligent Investor,"A foundational text on value investing, it emphasizes the importance of a disciplined approach to investing and offers strategies for minimizing risk while maximizing returns.",68.jpg
69,Petteri Kilpinen,2017,Inspiroitunut,"This book explores leadership and success in a changing work environment, offering insights and strategies for navigating modern challenges.",69.jpg
70,Raija Rapo & Marita Seulamo-Vargas,2010,Silicon Valley Journey,"This book explores the experiences of Finnish IT startups during the dot-com boom and their evolution up to 2010, highlighting challenges and successes in the dynamic landscape of Silicon Valley.",70.jpg
71,"Eva Fogdell, Alexander Proctor & Kaarlo Väisänen",2019,The Nordics Together - Uniting the Nordic Startup Ecosystem: Rising North Impact Fund 2016 - 2018,A report on Rising North’s efforts (2016–2018) to boost Nordic startup collaboration and international visibility through 40 funded initiatives.,71.jpg
73,"Eva Fogdell, Alexander Proctor & Kaarlo Väisänen",2019,The Nordics Together - Uniting the Nordic Startup Ecosystem: Rising North Impact Fund 2016 - 2018,A report on Rising North’s efforts (2016–2018) to boost Nordic startup collaboration and international visibility through 40 funded initiatives.,73.jpg
74,"Eva Fogdell, Alexander Proctor & Kaarlo Väisänen",2019,The Nordics Together - Uniting the Nordic Startup Ecosystem: Rising North Impact Fund 2016 - 2018,A report on Rising North’s efforts (2016–2018) to boost Nordic startup collaboration and international visibility through 40 funded initiatives.,74.jpg
75,Kardo Hämäläinen & Mika Mäkeläinen,2014,Taivas + helvetti vol.2,"This book explores themes of success and failure, emphasizing the importance of collaboration and mutual support in achieving goals. It is a continuation of the insights presented in the first volume.",75.jpg
76,Karo Hämäläinen & Mika Mäkeläinen,2014,Taivas + helvetti vol.2,"This book explores themes of success and failure, emphasizing the importance of collaboration and mutual support in achieving goals. It is a continuation of the insights presented in the first volume.",76.jpg
77,Karo Hämäläinen,2015,Yrittäjän taivas + helvetti vol 3,"This book explores the highs and lows of entrepreneurship, offering insights and experiences that resonate with business owners. It combines personal stories with practical advice to inspire and motivate readers.",77.jpg
78,Daniel H. Pink,2018,When: The Scientific Secrets of Perfect Timing,"This book explores the science of timing, revealing how the right timing can enhance productivity and well-being. Pink provides insights into daily rhythms and how to optimize our schedules for better outcomes.",78.jpg
79,"James D. Stein, Herbert L. Stone, Charles V. Harlow",1991,Miten ampua lonkalta osumatta varpaisiinsa,"This book focuses on making strategic decisions effectively and continuously, providing insights and techniques for better decision-making in business contexts.",79.jpg
80,Timothy Ferriss,2007,The 4-Hour Workweek,"This book offers strategies to escape the 9-5 grind, automate income, and live a more fulfilling life. It encourages readers to rethink work and lifestyle, promoting the idea of mini-retirements and remote work.",80.jpg
81,,2020,Rise FinTech Insights,"This publication offers insights into the fintech industry, showcasing trends, innovations, and key players. It serves as a resource for understanding the evolving landscape of financial technology.",81.jpg
83,Yves Doz ja Mikko Kosonen,2008,Nopea strategia,"This book explores how strategic agility helps organizations stay competitive in rapidly changing environments, offering insights and frameworks for effective strategic management.",83.jpg
84,"Michael Blowfield, Alan Murray",2008,Corporate Responsibility: A Critical Introduction,"This book provides a comprehensive overview of corporate responsibility, exploring its significance, challenges, and implications for businesses and society. It critically examines various perspectives and practices in the field.",84.jpg
85,,,AVP storybook,,85.jpg
86,Miikka Leinonen,2008,Strategy of Giving,"The book introduces a business strategy focused on providing value to customers without immediate expectations, suggesting that by prioritizing giving, companies can achieve long-term success.",86.jpg
87,Leena Peltola,2005,Liikeideasta liikkeelle,"This book focuses on transforming business ideas into actionable plans, providing insights and strategies for entrepreneurs to effectively launch and manage their ventures.",87.jpg
88,Anna Perho,2015,Pientä säätöä,"A light-hearted guide to everyday life, offering practical tips and insights on managing daily challenges with humor and creativity.",88.jpg
89,Nir Eyal,2014,Hooked - How to Build Habit-Forming Products,"This book explores the psychology behind why some products become habits. It provides a framework for creating engaging products that keep users coming back, focusing on triggers, actions, rewards, and investment.",89.jpg
90,Rob Fitzpatrick,2013,The Mom Test,"This book teaches entrepreneurs how to effectively talk to customers and validate business ideas, ensuring they get honest feedback rather than polite lies.",90.jpg
91,,2012,AVP storybook,"The AVP Storybook captures the essence of the AVP (Athlete Volunteer Program), showcasing inspiring stories and experiences of athletes involved in community service and volunteerism.",91.jpg
92,"Juhani Talvela, Anne Hassinen, Marjut Honkasalo, Timo Nyberg",2023,"Idea, Keskintö ja Maailmanvalloitus","This book explores the themes of innovation and global influence, celebrating 50 years of the Keksintösäätiö (Innovation Foundation) and its impact on technology and society.",92.jpg
93,,2001,Avauksia tietämyksen hallintaan,"This book discusses the management of knowledge and technology assessment, providing insights into future-oriented evaluations and strategies.",93.jpg
94,"Juhani Talvela, Anne Hassinen, Marjut Honkasalo, Timo Nyberg",2023,"Idea, Keksintö ja Maailmanvalloitus","This book explores innovation and its impact on global development, celebrating 50 years of the Keksintösäätiö foundation and its contributions to technology and society.",94.jpg
95,Arianna Huffington,2014,Thrive,"In 'Thrive', Arianna Huffington explores the importance of well-being and redefining success beyond money and power, emphasizing the need for a balanced life that includes wellness, wisdom, and wonder.",95.jpg
96,Timo Ahopelto,2015,Sand Hill Road,"This novel explores the high-stakes world of venture capital and entrepreneurship, delving into the lives of those navigating the challenges and opportunities of Silicon Valley.",96.jpg
97,Cath Bishop,2022,The Long Win,"This book explores the concept of success beyond traditional metrics, advocating for a more holistic approach to achievement that values long-term fulfillment and well-being.",97.jpg
98,Jari K. Niemelä,2009,Vesi - elämän lähde,"The book explores the significance of water in sustaining life, delving into its various roles and importance in different contexts.",98.jpg
99,"Eva Fogdell, Alexander Proctor, and Kaarlo Väisänen​",2019,The Nordics Together - Uniting the Nordic Startup Ecosystem: Rising North Impact Fund 2016 - 2018,A report on Rising North’s efforts (2016–2018) to boost Nordic startup collaboration and international visibility through 40 funded initiatives.,99.jpg
100,Tekes,1998,Uusmedia kuluttajan silmin,"The report examines consumer needs and motivations regarding new media, providing insights into the adoption and use of digital technologies in Finland during that period. ​",100.jpg
101,,2019,Pelago Bicycles,"This book showcases Pelago's bicycle designs, emphasizing craftsmanship, utility, and aesthetics. It reflects the brand's philosophy of creating functional and beautiful bicycles for urban cycling.",101.jpg
102,Jerry Colangelo,2001,How You Play the Game,"This book offers insights and lessons from the sports industry, emphasizing the importance of integrity, teamwork, and leadership in both sports and life.",102.jpg
103,Paula Hohti​,2011,Boundless Design: Perspectives on Finnish Applied Arts,"This publication provides valuable insights into the evolution of Finnish design and its societal impacts, making it a significant resource for understanding the country's design heritage.​",103.jpg
104,Monika Jansson,2011,Rosenrött hav - Ruusunpunainen meri,"This work provides a unique perspective on the flora of the Åland archipelago, combining personal observation with scientific exploration.​",104.jpg
105,Nathan Williams,2016,The Kinfolk Entrepreneur: Ideas for Meaningful Work,"This book offers insights and inspiration for creating a fulfilling career, emphasizing the importance of meaningful work and community in entrepreneurship.",105.jpg
106,Futurice​,2021,The Lean Way to Create a Better Future,"These methodologies provide structured approaches to innovation, enabling organizations to proactively shape their futures and create services that resonate with users while achieving business goals.​",106.jpg
107,,,The Four Seasons of Korea,,107.jpg
108,"Philip Kotler, Gary Armstrong, Anders Parment",2017,"Marknadsföring teori, strategi och praktik","This book covers fundamental marketing theories, strategies, and practical applications, providing insights into effective marketing practices and consumer behavior.",108.jpg
109,,2015,The Slush 100 Start-Ups,"This book highlights 100 innovative start-ups selected by top European investors, showcasing emerging trends and entrepreneurial insights from the Slush conference.",109.jpg
110,,2022,Dispatch vol 3,"This volume chronicles significant events and stories from the year 2022, providing insights and reflections on various topics and experiences.",110.jpg
111,,2022,Dispatch vol 3,"This volume chronicles significant events and stories from the year 2022, providing insights and reflections on various topics and experiences.",111.jpg
112,"Eva Fogdell, Alexander Proctor, and Kaarlo Väisänen​",2019,The Nordics Together - Uniting the Nordic Startup Ecosystem: Rising North Impact Fund 2016 - 2018,"This book explores the collaboration within the Nordic startup ecosystem, highlighting the initiatives and impact of the Rising North Impact Fund from 2016 to 2018.",112.jpg
113,Edited by Pauliina Savolainen,2012,Welcome to Finnish Design Thinking,"Delves into Finland's innovative design methodologies. The book features summaries of panel discussions from the Radical Design Week 2012, highlighting Finnish companies' approaches to design thinking. ​",113.jpg
114,Edited by Pauliina Savolainen,2012,Welcome to Finnish Design Thinking,"Delves into Finland's innovative design methodologies. The book features summaries of panel discussions from the Radical Design Week 2012, highlighting Finnish companies' approaches to design thinking. ​",114.jpg
115,Edited by Pauliina Savolainen,2012,Welcome to Finnish Design Thinking,"Delves into Finland's innovative design methodologies. The book features summaries of panel discussions from the Radical Design Week 2012, highlighting Finnish companies' approaches to design thinking. ​",115.jpg
116,Jussi T. Koski,1998,Infoähky,"This book discusses the challenges of information overload in learning and organizational contexts, providing insights for educators, leaders, and researchers on managing information effectively.",116.jpg
117,Lilya Lagerbohm,,Tunnista osaamisesi ja kirjoita täydellinen työhakemus,"The book provides guidance on recognizing one's competencies and crafting effective job applications, aiming to enhance job seekers' prospects in the Finnish job market.​",117.jpg
118,Edited by Pauliina Savolainen,2012,Welcome to Finnish Design Thinking,"Delves into Finland's innovative design methodologies. The book features summaries of panel discussions from the Radical Design Week 2012, highlighting Finnish companies' approaches to design thinking. ​",118.jpg
119,Edited by Pauliina Savolainen,2012,Welcome to Finnish Design Thinking,"Delves into Finland's innovative design methodologies. The book features summaries of panel discussions from the Radical Design Week 2012, highlighting Finnish companies' approaches to design thinking. ​",119.jpg
120,Edited by Pauliina Savolainen,2012,Welcome to Finnish Design Thinking,"Delves into Finland's innovative design methodologies. The book features summaries of panel discussions from the Radical Design Week 2012, highlighting Finnish companies' approaches to design thinking. ​",120.jpg
121,Edited by Pauliina Savolainen,2012,Welcome to Finnish Design Thinking,"Delves into Finland's innovative design methodologies. The book features summaries of panel discussions from the Radical Design Week 2012, highlighting Finnish companies' approaches to design thinking. ​",121.jpg
122,Edited by Pauliina Savolainen,2012,Welcome to Finnish Design Thinking,"Delves into Finland's innovative design methodologies. The book features summaries of panel discussions from the Radical Design Week 2012, highlighting Finnish companies' approaches to design thinking. ​",122.jpg
132,Matt C. Smith,2019,Startup Buzzword Dictionary,"A humorous guide to the jargon and buzzwords commonly used in the startup world, helping readers navigate the often confusing language of entrepreneurship.",132.jpg
